sector_id,sector_name,climate,terrain,population,diameter_km,system_name,region,midi_baseline,midi_sigma,kyber_baseline,kyber_sigma,dark_baseline,dark_sigma,dark_spike_probability,description,force_history,canon_confidence,is_unknown
coruscant,Coruscant,temperate,"cityscape, mountains",1000000000000,12240,Coruscant system,Core Worlds,24000.0,600.0,20.0,2.5,55.0,3.5,0.03,A massive ecumenopolis that covers the entire surface of the planet. It serves as the political and financial heart of the galaxy.,"The planet contains a massive, ancient Sith shrine buried deep beneath the Jedi Temple. It was the seat of the Galactic Republic and the Jedi Order for millennia.",1.0,false
dagobah,Dagobah,murky,"swamp, jungles",,8900,Dagobah system,Outer Rim,4500.0,120.0,15.0,1.8,65.0,4.0,0.04,"A murky, swampy world dominated by thick fogs and dense, tangled jungle. It is teeming with life but remains uncivilized and untamed.",The planet contains a powerful dark side cave where Yoda confronted his own fears and failure. It served as Yoda's exile home and the training ground for Luke Skywalker.,1.0,false
dantooine,Dantooine,temperate,"oceans, savannas, mountains, grasslands",1000,9830,Dantooine system,Outer Rim,9000.0,220.0,35.0,4.0,10.0,0.6,0.0,A peaceful world of savannas and rolling grasslands. It is far from the galactic core and often ignored.,Dantooine was the location of a historic Jedi enclave and a key training site for ancient Jedi. The planet remains serene and holds echoes of ancient light-side traditions.,1.0,false
dathomir,Dathomir,temperate,"forests, deserts, savannas",5200,10480,Dathomir system,Outer Rim,6000.0,180.0,10.0,1.0,90.0,7.0,0.05,"A mysterious, shadowy world of thick forests and rocky cliffs. It is the birthplace of the Nightsisters.",Dathomir is a major dark side nexus. It is saturated with dark magic used by the Nightsisters and served as the home of Darth Maul and Savage Opress.,1.0,false
dorin,Dorin,temperate,unknown,,13400,Dorin system,Outer Rim,7500.0,200.0,15.0,1.5,15.0,1.0,0.0,"A temperate world, though it has a unique atmosphere that is toxic to most other species.","The homeworld of the Kel Dor. The unique environmental pressures create a specific, resilient Force signature.",0.8,false
endor,Endor,temperate,"forests, mountains, lakes",30000000,4900,Endor system,Outer Rim,7000.0,200.0,20.0,2.0,15.0,1.0,0.01,"A forest moon covered in dense, towering woodlands. It is populated by the Ewoks, a primitive but resourceful species.","The forest moon was the site of the Emperor's final confrontation with Luke and Vader, marking the collapse of the Galactic Empire. It possesses a high density of life which contributes to its moderate Force presence.",1.0,false
eriadu,Eriadu,polluted,cityscape,22000000000,13490,Eriadu system,Outer Rim,10000.0,250.0,10.0,1.0,35.0,2.0,0.01,"A heavily polluted, urbanized world that functions as a key regional hub. It is stark and industry-focused.","Eriadu is the home planet of Grand Moff Tarkin. Its history of rigid order and military expansion gives it a darker, more structured Force profile.",1.0,false
felucia,Felucia,"hot, humid",fungus forests,8500000,9100,Felucia system,Outer Rim,11000.0,300.0,20.0,2.5,25.0,1.5,0.01,"A jungle world filled with giant fungi and strange, colorful flora. It is highly bio-diverse and prone to rapid overgrowth.","Felucia was a site of Order 66, where Jedi Master Aayla Secura was betrayed by her own clones. The high bio-density results in a naturally vibrant, albeit potentially corruptible, Force presence.",1.0,false
geonosis,Geonosis,"temperate, arid","rock, desert, mountain, barren",100000000000,11370,Geonosis system,Outer Rim,6500.0,200.0,30.0,3.5,55.0,3.4375,0.02,"A rocky, arid world dominated by hive-minded insects. It is heavily industrialized and known for droid foundries.",Geonosis was the site of the opening battle of the Clone Wars. The planet contains significant mineral wealth and crystal formations that bolster its kyber resonance.,1.0,false
glee_anselm,Glee Anselm,"tropical, temperate","lakes, islands, swamps, seas",500000000,15600,Glee Anselm system,Mid Rim,10000.0,250.0,20.0,2.0,15.0,1.0,0.0,"A water-rich world of lakes, islands, and swamps. It is the homeworld of the Nautolans.","The planet is a peaceful, albeit isolated, world with a connection to the Force through its aquatic spirits and harmonious culture.",0.8,false
haruun_kal,Haruun Kal,temperate,"toxic cloudsea, plateaus, volcanoes",705300,10120,Haruun Kal system,Mid Rim,7000.0,200.0,15.0,1.5,25.0,1.5,0.01,A dangerous world dominated by toxic cloudseas and towering plateaus.,"It was the home of Mace Windu. The violent, primal nature of the world and its people creates a powerful, raw, and sometimes dark Force resonance.",0.9,false
hoth,Hoth,frozen,"tundra, ice caves, mountain ranges",,7200,Hoth system,Outer Rim,1200.0,30.0,8.0,0.9,10.0,0.6,0.0,"A desolate, frozen ice world with a thin, frigid atmosphere. It is largely devoid of complex life beyond hardy local fauna.",Luke Skywalker experienced a powerful Force vision of Obi-Wan Kenobi on the frozen wastes after narrowly escaping a wampa attack. The planet is mostly neutral in terms of Force resonance due to its harsh conditions.,1.0,false
iktotch,Iktotch,"arid, rocky, windy",rocky,,,Iktotch system,Mid Rim,7000.0,200.0,15.0,1.5,20.0,1.2,0.0,"An arid, windy, and rocky world. It is the home of the Iktotchi.","The Iktotchi are known for their natural precognitive abilities, which deeply link the planet to the Force's time-sensitive aspects.",0.7,false
iridonia,Iridonia,unknown,"rocky canyons, acid pools",,,Iridonia system,Mid Rim,8500.0,220.0,15.0,1.5,25.0,1.5,0.01,A rugged world of rocky canyons and acid pools. It is the homeworld of the Zabrak.,"The harsh, survivalist culture of Iridonia leads to a naturally hardened and resilient Force signature.",0.7,false
kalee,Kalee,"arid, temperate, tropical","rainforests, cliffs, canyons, seas",4000000000,13850,Kalee system,Wild Space,8000.0,200.0,20.0,2.0,45.0,3.0,0.03,"A brutal, harsh world of rainforests and cliffs. It is the homeworld of General Grievous.","The planet's history of constant tribal warfare and the suffering endured under the Republic has led to a dark, scarred Force presence.",0.9,false
kamino,Kamino,temperate,ocean,1000000000,19720,Kamino system,Wild Space,5000.0,150.0,10.0,1.2,25.0,1.5,0.02,"A watery world prone to constant, violent storms. Its cities are built on stilts above the turbulent, endless ocean.","Kamino was the secret site for the production of the Grand Army of the Republic and the birthplace of the Clone Troopers. It is an artificial, cold environment that maintains low natural Force resonance.",1.0,false
kashyyyk,Kashyyyk,tropical,"jungle, forests, lakes, rivers",45000000,12765,Kashyyyk system,Mid Rim,14000.0,350.0,35.0,4.0,15.0,1.0,0.0,A world covered in massive wroshyr trees that create a multi-layered ecosystem. It is the homeworld of the Wookiees.,"Kashyyyk was a site of heavy fighting during the Clone Wars and famously held strong ties to the Jedi Order, including Master Yoda's friendship with the Wookiees. The planet's immense life-energy keeps its Force presence remarkably high.",1.0,false
malastare,Malastare,"arid, temperate, tropical","swamps, deserts, jungles, mountains",2000000000,18880,Malastare system,Mid Rim,12000.0,300.0,25.0,3.0,25.0,1.5,0.01,"A diverse world of jungles, swamps, and deserts. It is known for its high-stakes podracing and political tensions.","Malastare was the site of the Battle of Malastare, a pivotal engagement during the Clone Wars. The planet's history of exploitation and conflict colors its Force presence.",1.0,false
mirial,Mirial,unknown,deserts,,,Mirial system,Outer Rim,8000.0,200.0,15.0,1.5,15.0,1.0,0.0,"A desert world, home to the Mirialan species.","The Mirialans are deeply spiritual and place high value on destiny, leading to a strong, traditional connection to the Force.",0.8,false
mon_cala,Mon Cala,temperate,"oceans, reefs, islands",27000000000,11030,Mon Cala system,Outer Rim,17000.0,400.0,25.0,3.0,15.0,1.0,0.0,An ocean world inhabited by the Mon Calamari and Quarren. It is technologically advanced and politically unified.,"The planet was a staunch ally of the Republic and later the Rebellion. Its history is marked by internal conflict between its two species, which left minor scars, but overall maintains a light-side harmony.",1.0,false
mustafar,Mustafar,hot,"volcanoes, lava rivers, mountains, caves",20000,4200,Mustafar system,Outer Rim,3000.0,100.0,60.0,7.0,95.0,6.0,0.05,A volcanic hellscape with constant eruptions and lava flows. The environment is extremely hostile to non-indigenous life.,"The planet is a legendary dark side nexus, serving as Darth Vader's personal stronghold and the site of his defeat by Obi-Wan Kenobi. It is rich in volcanic minerals that exhibit high, though corrupted, kyber resonance.",1.0,false
muunilinst,Muunilinst,temperate,"plains, forests, hills, mountains",5000000000,13800,Muunilinst system,Outer Rim,16000.0,400.0,20.0,2.0,35.0,2.0,0.01,A wealthy world of plains and hills. It is the center of the InterGalactic Banking Clan.,"The planet's immense financial power and historical ties to the Separatists have given it a cynical, coldly calculating Force resonance.",1.0,false
mygeeto,Mygeeto,frigid,"glaciers, mountains, ice canyons",19000000,10088,Mygeeto system,Outer Rim,7000.0,200.0,50.0,6.0,30.0,1.8,0.01,"A crystalline, frozen world known for its banking and research facilities. It is dominated by towering, ice-encrusted structures.","The planet's abundance of unique crystalline structures contributes to high kyber resonance. It was a site of major conflict during the Clone Wars, resulting in significant trauma and dark side energy.",0.9,false
naboo,Naboo,temperate,"grassy hills, swamps, forests, mountains",4500000000,12120,Naboo system,Mid Rim,16000.0,400.0,40.0,4.5,10.0,0.6,0.0,"An idyllic planet of rolling grasslands, vast swamps, and beautiful cities. It is culturally rich and diplomatically significant.","Naboo was the home of Padmé Amidala and Jar Jar Binks, and the site of the fateful duel between Qui-Gon Jinn, Obi-Wan Kenobi, and Darth Maul. It is naturally attuned to the Force due to its harmonious ecosystem and core population.",1.0,false
nal_hutta,Nal Hutta,temperate,"urban, oceans, swamps, bogs",7000000000,12150,Hutta system,Outer Rim,5000.0,150.0,5.0,0.5,60.0,4.0,0.04,"A humid, swampy world that serves as the seat of the Hutt Cartel. It is grim, polluted, and decadent.","The planet is ruled by crime lords and is a known center for slavery and cruelty, creating a significant, persistent dark side taint in the local atmosphere.",1.0,false
ojom,Ojom,frigid,"oceans, glaciers",500000000,,Ojom system,Outer Rim,6000.0,180.0,10.0,1.0,15.0,1.0,0.0,"A frigid, oceanic world covered largely in ice.",Homeworld of the Besalisk species; it is a remote world with little recorded history of major Force conflicts.,0.7,false
ord_mantell,Ord Mantell,temperate,"plains, seas, mesas",4000000000,14050,Ord Mantell system,Mid Rim,8500.0,200.0,15.0,1.5,25.0,1.5,0.01,An industrial and transport hub with a long history of criminal activity and mercenary presence.,"Ord Mantell was a frequent site of skirmishes and clandestine meetings for bounty hunters. The history of illicit activities gives it a murky, slightly dark Force signature.",1.0,false
polis_massa,Polis Massa,artificial temperate ,airless asteroid,1000000,,Polis Massa system,Outer Rim,2500.0,80.0,15.0,1.8,10.0,0.6,0.0,"A collection of asteroid ruins and mining colonies. It is cold, airless, and sterile.","This desolate location served as the secret medical facility where Luke and Leia were born and Padmé died. The absence of a natural atmosphere makes for a very unique, isolated Force signature.",1.0,false
quermia,Quermia,unknown,unknown,,,Quermia system,Mid Rim,8000.0,200.0,15.0,1.5,15.0,1.0,0.0,"A world about which little is known, though it is the homeworld of the Quermians.","The Quermians, known for their multiple brains and Force-sensitivity, suggest a planet that might have unique, intellectual connections to the Force.",0.6,false
rodia,Rodia,hot,"jungles, oceans, urban, swamps",1300000000,7549,Rodian system,Outer Rim,7000.0,200.0,15.0,1.5,25.0,1.5,0.01,"A jungle world with dangerous flora and fauna. It is the homeworld of the Rodians, a species with a strong history as bounty hunters.","Rodia has long been embroiled in internecine political conflicts that frequently escalated during the Clone Wars. The history of violence contributes to a moderate, shifting dark side presence.",1.0,false
ryloth,Ryloth,"temperate, arid, subartic","mountains, valleys, deserts, tundra",1500000000,10600,Ryloth system,Outer Rim,9000.0,220.0,15.0,1.5,30.0,2.0,0.02,"A world of extremes: temperate, arid, and frozen regions. It is the homeworld of the Twi'leks.","Ryloth has suffered through cycles of occupation and exploitation by various powers, most notably the Separatists. The suffering of its people has left distinct dark side traces.",1.0,false
saleucami,Saleucami,hot,"caves, desert, mountains, volcanoes",1400000000,14920,Saleucami system,Outer Rim,6000.0,180.0,20.0,2.0,30.0,2.0,0.02,"A harsh, arid world with cratered landscapes and volcanic regions. It is a border world often caught in military conflict.","The planet was a battlefield during the Clone Wars, and it was here that Order 66 was carried out against several Jedi. The war-torn history has left lingering dark side echoes in the local Force field.",1.0,false
serenno,Serenno,unknown,"rainforests, rivers, mountains",,,Serenno system,Outer Rim,13000.0,350.0,20.0,2.0,40.0,2.5,0.02,"A wealthy, beautiful world of rainforests and mountains. It is the ancestral home of Count Dooku.","The planet became a hub for the Separatist movement, and the legacy of Dooku's fall to the dark side has left a profound mark on its Force signature.",1.0,false
shili,Shili,temperate,"cities, savannahs, seas, plains",,,Shili system,Expansion Region,10000.0,250.0,15.0,1.5,15.0,1.0,0.0,"A world of savannahs, seas, and plains. It is the homeworld of the Togruta.","The planet is home to the Togruta, who are known for their strong communal bond, which reflects a generally positive, life-affirming Force resonance.",0.8,false
skako,Skako,temperate,"urban, vines",500000000000,,Skako system,Outer Rim,22000.0,500.0,5.0,0.5,30.0,2.0,0.01,"A hyper-industrialized, suffocating ecumenopolis.","The planet was a hub for the Techno Union and Separatist interests. Its intense, oppressive environment creates a heavy, dark-tinged Force profile.",0.9,false
socorro,Socorro,arid,"deserts, mountains",300000000,,Socorro system,Outer Rim,5500.0,150.0,10.0,1.0,20.0,1.2,0.0,"A dry, desert world home to various nomadic cultures and spice runners.","The planet is largely off the main galactic trade routes and is known for its mystical, isolated cults, which give it a unique, somewhat obscure Force signature.",0.7,false
stewjon,Stewjon,temperate,grass,,,Stewjon system,Outer Rim,8000.0,200.0,15.0,1.5,10.0,0.6,0.0,"A temperate world with rolling grass plains. Little is known about this planet beyond its status as a quiet, isolated world.","It is notable primarily as the homeworld of Obi-Wan Kenobi. The planet's history remains relatively peaceful, resulting in a stable and light-leaning Force presence.",0.8,false
sullust,Sullust,superheated,"mountains, volcanoes, rocky deserts",18500000000,12780,Sullust system,Outer Rim,12000.0,300.0,40.0,5.0,30.0,2.0,0.01,A superheated world of lava flows and rocky deserts. Its population lives in vast subterranean industrial complexes.,"Sullust is a significant manufacturing hub and a strategic asset. The intensity of its volcanic activity and industrial output provides a grounded, heavy Force signature.",1.0,false
tatooine,Tatooine,arid,desert,200000,10465,Tatoo system,Outer Rim,2800.0,80.0,12.0,1.2,15.0,0.8,0.01,"A harsh, desert world orbiting a binary star system. It is sparsely populated and known primarily for its moisture farms and criminal underworld.",Tatooine served as the long-term hiding place for Luke Skywalker under the watch of Obi-Wan Kenobi. It was also the site of the pod race where Qui-Gon Jinn discovered Anakin Skywalker's high Force potential.,1.0,false
tholoth,Tholoth,unknown,unknown,,,Tholoth system,Colonies,9500.0,250.0,15.0,1.5,15.0,1.0,0.0,A mystery-shrouded world. Little data is available on its surface character.,"Known primarily as the home of the Tholothian species, including several Jedi, suggesting a benign and light-leaning history.",0.6,false
toydaria,Toydaria,temperate,"swamps, lakes",11000000,7900,Toydaria system,Mid Rim,7000.0,180.0,15.0,1.5,20.0,1.2,0.0,"A swampy, temperate world inhabited by the flying Toydarians. It is a world of marshes and lakes.","Toydaria was a neutral party during the Clone Wars, famously refusing to join the Separatists despite pressure, which speaks to its resilient and generally honorable spirit.",0.9,false
trandosha,Trandosha,arid,"mountains, seas, grasslands, deserts",42000000,,Trandosha system,Outer Rim,7500.0,200.0,15.0,1.5,35.0,2.0,0.02,An arid world that is the homeworld of the Trandoshan species. It is harsh and mountainous.,"The Trandoshan culture, focused on the Great Hunt and competitive violence, contributes to a notably martial and slightly dark-leaning presence in the Force.",0.9,false
troiken,Troiken,unknown,"desert, tundra, rainforests, mountains",,,Troiken system,Mid Rim,8000.0,200.0,15.0,1.5,15.0,1.0,0.0,"A varied world featuring multiple climate zones, from desert to rainforest.","The planet is relatively unknown in galactic annals, maintaining a balanced and neutral Force presence.",0.5,false
tund,Tund,unknown,"barren, ash",0,12190,Tund system,Outer Rim,3000.0,100.0,10.0,1.0,40.0,2.5,0.02,"A barren, ash-covered world with an inhospitable climate.","It is known to be associated with ancient, forbidden sorcerous arts and holds a sinister, dark side history that permeates its desolate landscape.",0.6,false
umbara,Umbara,unknown,unknown,,,Umbara system,Expansion Region,5000.0,150.0,10.0,1.0,55.0,3.5,0.04,"A dark, shadow-shrouded world. Very little light reaches its surface.","The planet is a notorious dark side location, known for its sinister indigenous culture and its role as a trap for Republic forces during the Clone Wars.",1.0,false
utapau,Utapau,"temperate, arid, windy","scrublands, savanna, canyons, sinkholes",95000000,12900,Utapau system,Outer Rim,8000.0,250.0,80.0,9.6,15.0,1.0,0.0,"A planet of massive sinkholes and underground cities. Its surface is wind-swept and mostly barren, while its interior is heavily inhabited.",It was the final sanctuary for the Separatist leadership during the Clone Wars and the location where Obi-Wan Kenobi defeated General Grievous. The planet's unique geological structure provides interesting focal points for local energy.,1.0,false
vulpter,Vulpter,"temperate, artic","urban, barren",421000000,14900,Vulpter system,Mid Rim,9000.0,220.0,15.0,1.5,20.0,1.2,0.0,A heavily industrialized and polluted world. It is known for its intense urban sprawl.,"The planet's ecological collapse due to industrial greed has led to a stagnant and slightly heavy Force presence, though it lacks major historical dark side events.",0.6,false
yavin_iv,Yavin IV,"temperate, tropical","jungle, rainforests",1000,10200,Yavin system,Outer Rim,6000.0,150.0,45.0,5.0,20.0,1.5,0.02,"A lush jungle moon dominated by massive temples built by the ancient Massassi. It is humid, verdant, and teeming with exotic wildlife.",The moon housed a major Rebel base and was the site of the Battle of Yavin. It also served as a secret training ground for Luke Skywalker's Jedi Praxeum in certain timelines and holds significant ancient dark side history.,0.95,false
zolan,Zolan,unknown,unknown,,,Zolan system,Mid Rim,6000.0,180.0,15.0,1.5,20.0,1.2,0.0,"A world with a secretive, xenophobic society. Little is known about it.","The planet's isolationist history has limited its broader impact on the galaxy, resulting in a somewhat obscure, inward-looking Force presence.",0.6,false
uncharted,unknown,unknown,unknown,,,Unknown,Unknown Regions,8000.0,200.0,15.0,1.5,20.0,1.2,0.01,Location unknown; SWAPI has no data for this planet. Baseline values are the medians of the other sectors.,No canonical Force history is recorded for this location.,0.0,true
